facility_id,name,city,state,county,lat,lon,field_office,cbsa_name,cbsa_type,days_midnight,avg_midnight_pop,max_midnight_pop
ECMCBNY,Erie County Medical Center,Buffalo,NY,Erie,42.92694678,-78.83100577,Buffalo,"Buffalo-Cheektowaga, NY",Metro,31.0,0.2,2.0
ESKHLIN,Eskenazi Health,Indianapolis,IN,Marion,39.77822865,-86.18412848,Chicago,"Indianapolis-Carmel-Greenwood, IN",Metro,4.0,0.0,1.0
ESSEXNJ,Essex County Jail,Newark,NJ,Essex,40.72104059,-74.12687828,Newark,"New York-Newark-Jersey City, NY-NJ",Metro,9.0,0.0,1.0
ESSEXMA,"Essex County Jail, Middleton",Middleton,MA,Essex,42.59770873,-70.98647059,Boston,"Boston-Cambridge-Newton, MA-NH",Metro,1.0,0.0,1.0
ETOWAAL,Etowah County Jail (AL),Gadsden,AL,Etowah,34.01639458,-86.01248822,New Orleans,"Gadsden, AL",Metro,365.0,81.9,160.0
EUGHOLD,Eugene Hold Room,Eugene,OR,Lane,44.05267406,-123.0893703,Seattle,"Eugene-Springfield, OR",Metro,9.0,0.0,2.0
FCLT8CA,Facility 8 Detention Facility,San Diego,CA,San Diego,32.5919577,-116.9241024,San Diego,"San Diego-Chula Vista-Carlsbad, CA",Metro,0.0,0.0,0.0
AKFAIRB,Fairbanks Correctional Center,Fairbanks,AK,Fairbanks North Star,64.83352041,-147.7594745,Seattle,"Fairbanks-College, AK",Metro,4.0,0.0,1.0
FRMVLVA,Farmville Detention Center,Farmville,VA,Prince Edward,37.32057983,-78.44092758,Washington,,Rural,365.0,670.1,740.0
FAYETKY,Fayette County Detention Center,Lexington,KY,Fayette,38.06563162,-84.54514102,Chicago,"Lexington-Fayette, KY",Metro,265.0,1.9,9.0
BOPBER,"Federal Correctional Institution - Berlin, NH",Berlin,NH,Coos,44.52185389,-71.13753068,Boston,,Rural,365.0,216.2,338.0
BOPATL,Federal Correctional Institution Atlanta,Atlanta,GA,Fulton,33.71244414,-84.36793535,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",Metro,365.0,122.8,273.0
BOPLVN,Federal Correctional Institution Leavenworth,Leavenworth,KS,Leavenworth,39.32984997,-94.93635042,Chicago,"Kansas City, MO-KS",Metro,365.0,62.1,92.0
BOPLEW,Federal Correctional Institution Lewisburg,Lewisburg,PA,Union,40.98668294,-76.91495825,Philadelphia,"Lewisburg, PA",Micro,48.0,20.9,193.0
BOPVIM,Federal Correctional Institution Victorville,Victorville,CA,San Bernardino,34.56928952,-117.3588767,Los Angeles,"Riverside-San Bernardino-Ontario, CA",Metro,0.0,0.0,0.0
BOPMIM,Federal Detention Center Miami,Miami,FL,Miami-Dade,25.77846074,-80.19313158,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",Metro,365.0,399.9,486.0
BOPPHL,Federal Detention Center Philadelphia,Philadelphia,PA,Philadelphia,39.95254135,-75.1520479,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metro,365.0,93.2,127.0
BOPHON,"Federal Detention Center, Honolulu (Federal Detention Center Honolulu)",Honolulu,HI,Honolulu,21.33362931,-157.9283142,San Francisco,"Urban Honolulu, HI",Metro,365.0,69.6,115.0
FINNEKS,Finney County Jail,Garden City,KS,Finney,37.96750455,-100.8761009,Chicago,"Garden City, KS",Micro,218.0,1.6,16.0
FLGLRFL,Flagler County Detention Facility,Bunnell,FL,Flagler,29.45239462,-81.2561631,Miami,"Deltona-Daytona Beach-Ormond Beach, FL",Metro,67.0,6.8,96.0
FLORHAZ,Florence Hospital,Florence,AZ,Pinal,33.07326552,-111.4856323,Phoenix,"Phoenix-Mesa-Chandler, AZ",Metro,57.0,0.3,3.0
FLO,Florence Service Processing Center,Florence,AZ,Pinal,33.0642139,-111.38242,Phoenix,"Phoenix-Mesa-Chandler, AZ",Metro,365.0,357.7,532.0
FSF,Florence Staging Facility,Florence,AZ,Pinal,33.06411191,-111.3805116,Phoenix,"Phoenix-Mesa-Chandler, AZ",Metro,365.0,273.0,612.0
FLDSSFS,Florida Soft Sided Facility South,Ochopee,FL,Collier,25.86545815,-80.89870829,Miami,"Naples-Marco Island, FL",Metro,174.0,607.2,1625.0
FLOYDGA,Floyd County Jail,Rome,GA,Floyd,34.28002514,-85.14154059,Atlanta,"Rome, GA",Metro,254.0,2.6,26.0
FIPCDGA,Folkston D Ray ICE Processing Center,Folkston,GA,Charlton,30.87362191,-81.97934365,Atlanta,,Rural,218.0,515.5,1408.0
FIPCAGA,Folkston ICE Processing Center (Annex),Folkston,GA,Charlton,30.8712568,-81.98107709,Atlanta,,Rural,365.0,283.2,354.0
FIPCMGA,Folkston ICE Processing Center (Main),Folkston,GA,Charlton,30.87210016,-81.98234889,Atlanta,,Rural,365.0,692.3,980.0
FNDDUWI,Fond Du Lac County Sheriff/Jail,Fond Du Lac,WI,Fond du Lac,43.77359905,-88.44861093,Chicago,"Fond du Lac, WI",Metro,6.0,0.0,1.0
FLBHCFL,Fort Lauderdale Behavor Health Center,Oakland Park,FL,Broward,26.19754928,-80.13333978,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",Metro,217.0,4.7,10.0
FLHOSFL,Fort Lauderdale Hospital,Fort Lauderdale,FL,Broward,26.11962096,-80.12701547,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",Metro,0.0,0.0,0.0
FRANKNC,Franklin County Detention Center,Louisburg,NC,Franklin,36.09447504,-78.31954212,Atlanta,"Raleigh-Cary, NC",Metro,19.0,0.1,4.0
FRANKPA,Franklin County Jail,Chambersburg,PA,Franklin,40.00173579,-77.64437253,Philadelphia,"Chambersburg, PA",Metro,118.0,0.7,10.0
GREENMA,Franklin House of Corrections,Greenfield,MA,Franklin,42.59672867,-72.61310111,Boston,"Greenfield, MA",Micro,0.0,0.0,0.0
FREEBMN,Freeborn County Jail Services,Albert Lea,MN,Freeborn,43.64599669,-93.36810296,St Paul,"Albert Lea, MN",Micro,365.0,75.2,101.0
FRIRHTX,Frio Regional Hospital,Pearsall,TX,Frio,28.89634801,-99.11726803,San Antonio,,Rural,28.0,0.2,2.0
FULCJIN,Fulton County Jail Indiana,Rochester,IN,Fulton,41.05192359,-86.23201245,Chicago,,Rural,136.0,2.7,19.0
GCPFCKS,Garden City Processing @ Finney County,Garden City,KS,Finney,37.96750455,-100.8761009,Chicago,"Garden City, KS",Micro,1.0,0.0,1.0
GARVIOK,Garvin County Jail,Pauls Valley,OK,Garvin,34.74063838,-97.22216046,Dallas,,Rural,67.0,0.8,16.0
GASTNNC,Gaston County Jail,Gastonia,NC,Gaston,35.26751035,-81.18343961,Atlanta,"Charlotte-Concord-Gastonia, NC-SC",Metro,52.0,0.2,4.0
GEAUGOH,Geauga County Safety Center,Chardon,OH,Geauga,41.50465415,-81.19159051,Detroit,"Cleveland, OH",Metro,365.0,27.0,44.0
IAHSFTX,George Bush Intercontinental,Houston,TX,Harris,29.98707572,-95.35055977,Houston,"Houston-Pasadena-The Woodlands, TX",Metro,0.0,0.0,0.0
GRGBVTX,Georgetown Behavioral Hospital,Georgetown,TX,Williamson,30.61487888,-97.68066012000001,San Antonio,"Austin-Round Rock-San Marcos, TX",Metro,7.0,0.0,1.0
GLADEFL,Glades County Detention Center,Moore Haven,FL,Glades,26.838751,-81.124787,Miami,"Clewiston, FL",Micro,344.0,346.8,479.0
GLEPDCA,Glendale Police Department,Glendale,CA,Los Angeles,34.147493,-118.249203,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Metro,32.0,0.3,11.0
GSCHOLD,Glenwood Springs Hold Room,Glenwood Springs,CO,Garfield,39.55820977,-107.3583702,Denver,"Rifle, CO",Micro,7.0,0.0,2.0
GLDSACA,Golden State Annex,Mcfarland,CA,Kern,35.66990008,-119.2278086,San Francisco,"Bakersfield-Delano, CA",Metro,365.0,607.5,662.0
GCLECOK,Grady County Law Enforcement Center,Chickasha,OK,Grady,35.05318999,-97.93638,Dallas,"Oklahoma City, OK",Metro,0.0,0.0,0.0
GMHATGA,Grady Memorial Hospital,Atlanta,GA,Fulton,33.75168214,-84.38198619,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",Metro,41.0,0.2,2.0
GFCORND,Grand Forks County Correctional Center,Grand Forks,ND,Grand Forks,47.93548832,-97.05764256,St Paul,"Grand Forks, ND-MN",Metro,363.0,16.0,31.0
GFJUVND,Grand Forks County Juvenile,Grand Forks,ND,Grand Forks,47.93548832,-97.05764256,St Paul,"Grand Forks, ND-MN",Metro,104.0,0.3,1.0
GRAYSKY,Grayson County Detention Center,Leitchfield,KY,Grayson,37.48915122,-86.27020937,Chicago,,Rural,365.0,131.1,174.0
NYGREAC,Great Meadow CF,Comstock,NY,Washington,43.45731043,-73.43266846,Buffalo,"Glens Falls, NY",Metro,0.0,0.0,0.0
GREENMO,Greene County Jail,Springfield,MO,Greene,37.22469887,-93.38645019,Chicago,"Springfield, MO",Metro,365.0,245.4,323.0
GUDOCHG,"Guam Department of Corrections, Hagatna Detention Facility",Hagatna,GU,Guam,13.4743782,144.7501207,San Francisco,,Rural,365.0,14.3,23.0
GUAMHGU,Guam Memorial Hospital,Tamuning,GU,Guam,13.50496171,144.7746424,San Francisco,,Rural,0.0,0.0,0.0
BOPGUA,Guaynabo MDC (San Juan),Guaynabo,PR,Guaynabo,18.42143101,-66.11932498,Miami,"San Juan-Bayamón-Caguas, PR",Metro,0.0,0.0,0.0
CKHOSFL,HCA Florida Kendall Hospital,Miami,FL,Miami-Dade,25.7308993,-80.38543608,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",Metro,183.0,1.7,5.0
HCAFMFL,HCA Florida Memorial Hospital,Jacksonville,FL,Duval,30.28875772,-81.60115746,Miami,"Jacksonville, FL",Metro,20.0,0.1,1.0
HCAHCTX,HCA Houston Healthcare Conroe,Conroe,TX,Montgomery,30.28417928,-95.46825041,Houston,"Houston-Pasadena-The Woodlands, TX",Metro,219.0,3.8,9.0
HALLJGA,Hall County Jail,Gainesville,GA,Hall,34.23860701,-83.81286502,Atlanta,"Gainesville, GA",Metro,0.0,0.0,0.0
HASHENE,Hall County Sheriff,Grand Island,NE,Hall,40.92663446,-98.32841385,St Paul,"Grand Island, NE",Metro,264.0,7.5,22.0
HAMILTN,Hamilton County Jail (Tenn),Chattanooga,TN,Hamilton,35.04172975,-85.27639879,New Orleans,"Chattanooga, TN-GA",Metro,0.0,0.0,0.0
HCPSCMS,Hancock County Public Safety Complex,Bay Saint Louis,MS,Hancock,30.30312418,-89.47651733,New Orleans,"Gulfport-Biloxi, MS",Metro,365.0,27.8,112.0
HARDEFL,Hardee County Jail,Wauchula,FL,Hardee,27.54292218,-81.8022425,Miami,,Rural,7.0,0.0,1.0
