facility_id,avg_midnight_before,convicted_rate_before,female_rate_before,active_days_before,avg_midnight_after,convicted_rate_after,female_rate_after,active_days_after
CHIHOLD,,0.0352,0.5409,91.0,2.6154,0.1701,0.2482,126.0
CHIPPMI,11.6556,0.4817,0.0,842.0,38.1831,0.2377,0.0,415.0
CHLHOLD,3.0588,0.665,0.0116,369.0,7.5045,0.282,0.0541,366.0
CHMCINY,,0.8871,0.0323,31.0,,0.4545,0.0,11.0
CHMHOLD,,0.0,0.25,4.0,3.6667,0.0291,0.4824,47.0
CHRISKY,,,,,99.8274,0.3096,0.0054,169.0
CHRLTFL,,,,,5.9091,0.4416,0.3889,18.0
CHSHOLD,,,,,1.0,0.25,0.0,4.0
CHSPKVA,,,,,2.3077,0.2378,0.0544,150.0
CHTHMGA,,,,,2.8333,0.0992,0.0,11.0
CHYHOLD,,0.6159,0.0326,87.0,1.0,0.3638,0.0456,106.0
CIBOCNM,139.696,0.037,0.0001,842.0,238.7735,0.1746,0.0,415.0
CIBOLNM,,,,,3.4,0.3059,0.0,11.0
CINHOLD,,0.0,0.35,5.0,1.0,0.1667,0.8333,12.0
CIPHOLD,1.0,0.3741,0.1788,404.0,6.9495,0.3826,0.0785,294.0
CITRUFL,,1.0,0.0,1.0,1.0,0.0,0.0,3.0
CLARKIN,,,,,79.2716,0.2634,0.6981,335.0
CLAYCIN,73.8432,0.6668,0.0324,842.0,249.2458,0.422,0.0274,415.0
CLEHOLD,1.0,0.9231,0.0769,13.0,4.4444,0.1617,0.3111,46.0
CLICONY,2.878,0.6016,0.3732,737.0,5.5504,0.1288,0.6646,411.0
CLINTIN,,,,,26.09,0.3945,0.2071,289.0
CLINTPA,57.9038,0.9449,0.0271,842.0,85.7108,0.6685,0.1081,415.0
CLMHOLD,1.0,0.275,0.3567,20.0,1.0,0.1469,0.087,68.0
CLTHOLD,1.5455,0.7485,0.0472,445.0,15.4566,0.3962,0.0698,388.0
CMDHOLD,,0.6471,0.2941,17.0,1.3333,0.0,0.0,6.0
CNGHOLD,,0.7603,0.049,266.0,1.2,0.4954,0.072,339.0
COAHOLD,3.5714,0.8734,0.0,168.0,1.3462,0.4453,0.0088,237.0
COBBJGA,1.4043,0.6839,0.0431,418.0,1.7778,0.3182,0.0,11.0
COCONAZ,,,,,,0.8889,0.0,1.0
COLLIFL,8.7506,0.6359,0.0379,840.0,28.7108,0.4903,0.1103,415.0
COLUMFL,1.0,0.8143,0.1429,14.0,1.0,0.75,0.0,4.0
CPBDCKY,,,,,114.4088,0.3074,0.1428,362.0
CRGHOLD,1.0,0.6406,0.0,32.0,1.25,0.3984,0.1037,41.0
CRIHOLD,,0.875,0.0,16.0,6.5455,0.527,0.0578,49.0
CROWGMN,,,,,23.6364,0.4073,0.1609,154.0
CRPHOLD,,0.6061,0.1182,55.0,1.0,0.1691,0.0943,246.0
CRYCCTX,,,,,,0.125,0.0,1.0
CSCNWWA,624.2803,0.3976,0.1296,842.0,1318.0458,0.3508,0.1008,415.0
CSDHOLD,,,,,1.3462,0.4284,0.0921,188.0
CSPHOLD,,0.7276,0.0432,81.0,1.6667,0.3513,0.0479,101.0
CULBETX,,,,,1.0,1.0,0.0,5.0
CULPEVA,1.0,1.0,0.0,2.0,1.0,0.5714,0.0,7.0
CUMBEME,9.0268,0.3975,0.0371,774.0,60.4103,0.4744,0.2979,369.0
CURRYNM,,0.0,0.0,1.0,,1.0,0.0,1.0
CVANXCA,,0.0,0.0,1.0,1.0,1.0,0.0,53.0
CVREGVA,1.6076,0.7051,0.3304,114.0,1.0714,0.6667,0.0556,45.0
DAKOTNE,1.3273,0.8055,0.0,290.0,30.5561,0.6212,0.1216,411.0
DALCOTX,7.3491,0.4746,0.0634,816.0,4.9717,0.2172,0.074,406.0
DALHOLD,3.546,0.5442,0.0655,727.0,27.1175,0.2934,0.1171,415.0
DAVIDTN,,,,,,0.5,0.0,2.0
DAVISUT,,,,,5.1722,0.545,0.0969,158.0
DEAPDMI,,0.0,0.0,1.0,,,,
DEKABGA,,1.0,0.0,1.0,,,,
DEKALAL,,,,,,0.0,0.0,2.0
DENHOLD,1.0417,0.5643,0.0758,490.0,2.396,0.3099,0.1113,380.0
DENICDF,878.1437,0.2548,0.0798,842.0,1180.3036,0.2953,0.0731,415.0
DENVECO,,1.0,0.0,5.0,1.0,0.0,0.2,5.0
DEPCOGU,,,,,1.0,0.0,0.6923,26.0
DETHOLD,,0.275,0.4,20.0,5.1364,0.0918,0.3137,115.0
DHDFNJ,1.0,0.8,0.0,5.0,738.1465,0.1294,0.0717,314.0
DILLSAF,,,,,253.291,0.0443,1.0,134.0
DLRHOLD,1.1562,0.7409,0.0516,359.0,1.375,0.4819,0.2633,161.0
DODGEWI,107.2981,0.7516,0.0137,842.0,102.1663,0.6279,0.0062,415.0
DONAANM,,,,,1.0,0.5,0.0,4.0
DORCDSC,1.6014,0.6169,0.0,227.0,3.0303,0.338,0.0,243.0
DOUGLCO,,1.0,0.0,1.0,,0.5,0.0,6.0
DOUGLWI,1.0476,0.5,0.0,34.0,19.3398,0.2277,0.1613,330.0
DRCPCTX,,0.0,0.0,1.0,,,,
DSMHOLD,1.0,0.8165,0.0262,118.0,1.0,0.6333,0.0087,115.0
DULHOLD,,0.6667,0.0,3.0,,,,
DURHOLD,,,,,2.1667,0.4535,0.0439,38.0
DVCSDKY,,,,,34.4065,0.508,0.0203,155.0
DVDHOLD,,0.752,0.0223,292.0,1.3333,0.4981,0.0205,305.0
EAZ,1224.8444,0.1156,0.382,842.0,1350.3157,0.2348,0.4181,415.0
ECC,1.0,0.0,0.0,842.0,1.0,0.0,0.0,385.0
ECLECTX,,,,,,0.5,0.0,2.0
EDNBGTX,,0.0,0.0,1.0,1.0,0.0,0.0,3.0
EDNDCTX,139.5071,0.0706,0.0,842.0,288.5687,0.1673,0.0,415.0
EDNHOLD,5.3333,0.0,0.0,14.0,,,,
EHDLGTX,2.4457,0.9902,0.0136,806.0,8.869,0.8926,0.1091,411.0
ELMORID,3.0506,0.8782,0.0491,626.0,7.2437,0.6391,0.0441,282.0
ELPCOTX,3.0833,0.055,0.0,60.0,1.0,0.5143,0.1429,35.0
ELVDFTX,752.5867,0.0697,0.5264,842.0,854.7398,0.2301,0.3999,415.0
ELZICDF,206.5867,0.1946,0.0824,842.0,294.9735,0.2423,0.0934,415.0
EPC,660.6532,0.4282,0.265,842.0,829.4723,0.3887,0.2673,415.0
EPCDFTX,1.0833,0.2774,0.0444,45.0,1.2124,0.3206,0.3051,165.0
EPCJUVI,,0.0,0.0,1.0,,0.0,0.0,1.0
EPCPCTX,,,,,2.0,0.25,0.7917,4.0
EPSSFTX,,,,,301.3193,0.2674,0.0601,239.0
ERICOPA,1.7083,0.4998,0.0578,173.0,18.0327,0.1835,0.0216,402.0
EROFCB,,,,,1971.3466,0.222,0.1016,251.0
ESSEXMA,,,,,1.0,1.0,0.0,2.0
ESSEXNJ,1.0,0.0,0.0,54.0,1.0,0.9231,0.0769,13.0
ETOWAAL,,0.5,0.5,2.0,81.1796,0.3494,0.1325,373.0
ETWHOLD,,0.4667,0.3333,5.0,1.0,0.0312,0.4792,8.0
EUGHOLD,,0.6949,0.0221,68.0,1.8,0.3383,0.1023,92.0
FAYETKY,1.5149,0.7736,0.0388,562.0,2.6689,0.5113,0.0264,370.0
FAYHOLD,1.5,0.6628,0.0697,61.0,1.0,0.3826,0.0603,47.0
FDLHOLD,1.0,0.6797,0.0628,77.0,2.0,0.4645,0.0545,154.0
FINNEKS,1.5069,0.6405,0.0232,320.0,2.704,0.4621,0.0483,316.0
FIPCAGA,194.5095,0.3413,0.0,842.0,282.4627,0.3011,0.0,415.0
FIPCDGA,,,,,863.1422,0.1833,0.0,218.0
FIPCMGA,514.7078,0.2536,0.0,842.0,685.2723,0.3115,0.0,415.0
FLBAKCI,,,,,767.9421,0.3286,0.0,190.0
FLCHACI,,0.0,1.0,1.0,,,,
FLDADCI,,,,,3.625,1.0,0.0,16.0
FLDSSFS,,,,,1273.7989,0.3748,0.0,174.0
FLGLRFL,1.0,0.3158,0.0526,19.0,34.831,0.0483,0.8245,82.0
FLO,321.4549,0.1843,0.001,842.0,360.2916,0.2649,0.0134,415.0
FLOYDGA,1.2984,0.657,0.2372,267.0,3.6121,0.3152,0.1394,330.0
FMYHOLD,1.0,0.6662,0.0264,339.0,2.2155,0.4037,0.0534,400.0
FNDDUWI,1.0,1.0,0.0,5.0,1.0,0.5,0.0,10.0
FORSYNC,1.0,1.0,0.0,5.0,,,,
FRANKNC,,,,,2.0526,0.3426,0.1728,27.0
FRANKPA,,,,,2.0593,0.366,0.0637,154.0
FRDHOLD,1.0,0.7564,0.0293,91.0,1.0952,0.6337,0.0419,324.0
FREDEMD,,1.0,0.0,1.0,,,,
FREEBMN,38.8646,0.6669,0.0,842.0,75.5807,0.5373,0.0007,415.0
FREESTX,,1.0,0.0,1.0,,,,
FREHOLD,1.1473,0.97,0.0259,842.0,2.5899,0.5608,0.0386,380.0
FRMVLVA,195.4537,0.7395,0.0,842.0,657.2265,0.3859,0.0,415.0
FSAHOLD,,,,,,0.5833,0.0625,16.0
